id,state,y,x
524,JUVENILE,11.0,169.0
525,JUVENILE,5.0,225.0
526,ADULT_FEMALE_G,5.0,169.0
527,JUVENILE,307.0,146.0
528,JUVENILE,11.0,169.0
529,JUVENILE,11.0,169.0
530,JUVENILE,62.0,4.0
531,ADULT_FEMALE_G,15.0,163.0
532,ADULT_FEMALE_G,5.0,170.0
533,ADULT_FEMALE_G,57.0,7.0
534,ADULT_FEMALE_G,60.0,8.0
535,JUVENILE,5.0,225.0
536,ADULT_FEMALE_G,6.0,209.0
537,JUVENILE,41.0,23.0
538,ADULT_FEMALE_G,0.0,205.0
539,JUVENILE,5.0,225.0
540,JUVENILE,11.0,169.0
541,ADULT_FEMALE_G,6.0,216.0
542,JUVENILE,5.0,225.0
543,JUVENILE,62.0,4.0
544,JUVENILE,5.0,225.0
545,ADULT_FEMALE_G,2.0,210.0
546,JUVENILE,5.0,225.0
547,JUVENILE,41.0,23.0
548,JUVENILE,5.0,225.0
549,ADULT_FEMALE_G,34.0,14.0
550,ADULT_FEMALE_G,2.0,222.0
551,ADULT_FEMALE_G,9.0,168.0
552,ADULT_FEMALE_G,1.0,227.0
553,ADULT_FEMALE_G,2.0,216.0
554,JUVENILE,62.0,4.0
555,JUVENILE,11.0,169.0
556,ADULT_MALE,5.0,223.0
557,JUVENILE,284.0,175.0
558,ADULT_MALE,0.0,223.0
559,JUVENILE,5.0,225.0
560,JUVENILE,5.0,225.0
561,ADULT_FEMALE_G,2.0,226.0
562,ADULT_MALE,5.0,166.0
563,ADULT_FEMALE_G,11.0,162.0
564,JUVENILE,41.0,23.0
565,ADULT_MALE,291.0,175.0
566,ADULT_MALE,11.0,161.0
567,ADULT_FEMALE_U,303.0,148.0
568,JUVENILE,62.0,4.0
569,ADULT_FEMALE_G,9.0,219.0
570,JUVENILE,5.0,225.0
571,JUVENILE,11.0,169.0
572,JUVENILE,62.0,4.0
573,ADULT_FEMALE_G,1.0,223.0
574,JUVENILE,307.0,173.0
575,ADULT_MALE,58.0,1.0
576,JUVENILE,11.0,169.0
577,JUVENILE,307.0,173.0
578,JUVENILE,62.0,4.0
579,JUVENILE,5.0,225.0
580,JUVENILE,5.0,225.0
581,JUVENILE,5.0,225.0
582,JUVENILE,5.0,225.0
583,ADULT_MALE,57.0,6.0
584,JUVENILE,62.0,4.0
585,JUVENILE,285.0,178.0
586,ADULT_FEMALE_G,9.0,218.0
587,ADULT_FEMALE_G,5.0,168.0
588,JUVENILE,5.0,225.0
589,ADULT_FEMALE_G,2.0,227.0
590,JUVENILE,62.0,4.0
591,ADULT_MALE,12.0,163.0
592,ADULT_FEMALE_G,5.0,226.0
593,JUVENILE,11.0,169.0
594,ADULT_FEMALE_G,39.0,20.0
595,ADULT_FEMALE_G,6.0,227.0
596,JUVENILE,307.0,173.0
