epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,18512.8,0.01178,0.57925,1.05923,0.94721,0.92532,0.96494,0.69853,0.0084,0.34315,0.78151,0.0188663,0.00628877,0.0188663,0.00628877,0.0188663,0.00628877,0.0188663,0.00628877
85,18605.1,0.0118,0.58085,1.05805,0.94868,0.92441,0.96473,0.6988,0.0084,0.34333,0.78087,0.0187322,0.00624406,0.0187322,0.00624406,0.0187322,0.00624406,0.0187322,0.00624406
86,18703.4,0.0117,0.57676,1.05992,0.93851,0.93137,0.96504,0.69934,0.00839,0.3426,0.78035,0.018598,0.00619935,0.018598,0.00619935,0.018598,0.00619935,0.018598,0.00619935
87,18798,0.01166,0.57972,1.04904,0.938,0.93807,0.96593,0.69934,0.00839,0.34161,0.78055,0.0184639,0.00615463,0.0184639,0.00615463,0.0184639,0.00615463,0.0184639,0.00615463
88,18891.6,0.01181,0.5812,1.05575,0.93742,0.93989,0.96542,0.69946,0.00838,0.3408,0.78018,0.0183298,0.00610992,0.0183298,0.00610992,0.0183298,0.00610992,0.0183298,0.00610992
89,18984.6,0.01165,0.5673,1.05295,0.94137,0.93595,0.96602,0.7002,0.00837,0.34123,0.77927,0.0181956,0.00606521,0.0181956,0.00606521,0.0181956,0.00606521,0.0181956,0.00606521
90,19083.9,0.01161,0.57171,1.0537,0.94006,0.94262,0.96718,0.70105,0.00837,0.34167,0.77892,0.0180615,0.00602049,0.0180615,0.00602049,0.0180615,0.00602049,0.0180615,0.00602049
91,19177.5,0.01162,0.56662,1.04806,0.94114,0.93989,0.96754,0.70286,0.00836,0.34298,0.77862,0.0179273,0.00597578,0.0179273,0.00597578,0.0179273,0.00597578,0.0179273,0.00597578
92,19270.2,0.01166,0.57469,1.05343,0.94076,0.94009,0.9677,0.70388,0.00836,0.34317,0.77844,0.0177932,0.00593107,0.0177932,0.00593107,0.0177932,0.00593107,0.0177932,0.00593107
93,19685.5,0.01162,0.56777,1.04692,0.93997,0.94115,0.96753,0.70405,0.00835,0.34194,0.77774,0.0176591,0.00588635,0.0176591,0.00588635,0.0176591,0.00588635,0.0176591,0.00588635
94,19783,0.01161,0.56523,1.04647,0.94435,0.94276,0.9692,0.70628,0.00833,0.34105,0.77689,0.0175249,0.00584164,0.0175249,0.00584164,0.0175249,0.00584164,0.0175249,0.00584164
95,19878.8,0.01156,0.57076,1.0457,0.94514,0.94134,0.96928,0.70668,0.00833,0.34098,0.77666,0.0173908,0.00579692,0.0173908,0.00579692,0.0173908,0.00579692,0.0173908,0.00579692
96,21791.9,0.01153,0.5676,1.04384,0.94516,0.94184,0.96943,0.70718,0.00832,0.34019,0.77615,0.0172566,0.00575221,0.0172566,0.00575221,0.0172566,0.00575221,0.0172566,0.00575221
97,21877.6,0.01146,0.5578,1.03671,0.9461,0.94353,0.97038,0.70791,0.00832,0.33946,0.77516,0.0171225,0.0057075,0.0171225,0.0057075,0.0171225,0.0057075,0.0171225,0.0057075
98,21971.7,0.0115,0.56633,1.04209,0.94714,0.9408,0.96977,0.70875,0.00831,0.33989,0.77485,0.0169884,0.00566278,0.0169884,0.00566278,0.0169884,0.00566278,0.0169884,0.00566278
99,22065.3,0.01149,0.56196,1.03735,0.94373,0.9471,0.9691,0.70859,0.00831,0.33897,0.77434,0.0168542,0.00561807,0.0168542,0.00561807,0.0168542,0.00561807,0.0168542,0.00561807
100,22158.7,0.01142,0.55573,1.03918,0.94451,0.94565,0.96951,0.70992,0.0083,0.33719,0.77441,0.0167201,0.00557336,0.0167201,0.00557336,0.0167201,0.00557336,0.0167201,0.00557336
101,22254.5,0.01145,0.56109,1.04159,0.94912,0.94262,0.97142,0.71145,0.00829,0.33579,0.77371,0.0165859,0.00552864,0.0165859,0.00552864,0.0165859,0.00552864,0.0165859,0.00552864
102,22352.5,0.01135,0.55514,1.03656,0.95417,0.94262,0.97196,0.71194,0.00828,0.33436,0.77365,0.0164518,0.00548393,0.0164518,0.00548393,0.0164518,0.00548393,0.0164518,0.00548393
103,22445.3,0.01141,0.55591,1.03256,0.94756,0.95264,0.9729,0.7131,0.00828,0.33429,0.77329,0.0163176,0.00543922,0.0163176,0.00543922,0.0163176,0.00543922,0.0163176,0.00543922
104,22538.3,0.01132,0.55677,1.03617,0.9487,0.95264,0.97253,0.71303,0.00825,0.3343,0.77145,0.0161835,0.0053945,0.0161835,0.0053945,0.0161835,0.0053945,0.0161835,0.0053945
105,22634.7,0.01128,0.54857,1.03446,0.94843,0.95264,0.97228,0.71408,0.00824,0.33345,0.76961,0.0160494,0.00534979,0.0160494,0.00534979,0.0160494,0.00534979,0.0160494,0.00534979
106,22729.7,0.01135,0.55309,1.03017,0.94828,0.95264,0.97254,0.71398,0.00823,0.33148,0.76917,0.0159152,0.00530508,0.0159152,0.00530508,0.0159152,0.00530508,0.0159152,0.00530508
107,22822.4,0.01136,0.54865,1.03267,0.94845,0.95264,0.97258,0.71464,0.00822,0.33081,0.76823,0.0157811,0.00526036,0.0157811,0.00526036,0.0157811,0.00526036,0.0157811,0.00526036
108,22915.4,0.01121,0.54875,1.02998,0.94932,0.95173,0.9726,0.71437,0.00821,0.32968,0.76781,0.0156469,0.00521565,0.0156469,0.00521565,0.0156469,0.00521565,0.0156469,0.00521565
109,23014.3,0.01119,0.54184,1.03342,0.94922,0.95332,0.9725,0.71618,0.0082,0.32904,0.76731,0.0155128,0.00517093,0.0155128,0.00517093,0.0155128,0.00517093,0.0155128,0.00517093
110,23109.7,0.01121,0.54758,1.02892,0.94883,0.95355,0.97269,0.71575,0.00819,0.32877,0.76602,0.0153787,0.00512622,0.0153787,0.00512622,0.0153787,0.00512622,0.0153787,0.00512622
