number,value,datetime_start,datetime_complete,duration,params_box,params_cls,params_dfl,params_fliplr,params_flipud,params_hsv_h,params_hsv_s,params_hsv_v,params_lr0,params_lrf,params_mixup,params_momentum,params_mosaic,params_warmup_epochs,params_weight_decay,state
25,0.954877585476372,2026-03-28 17:47:49.992334,2026-03-28 18:08:43.214679,0 days 00:20:53.222345,0.0580288682534692,0.25320117752916915,1.25662506362005,0.40591751512501084,0.26332809014168285,0.03051374457637314,0.7519194796730896,0.3042644212548872,0.04260473750395425,0.05344404287194915,0.08875269377252731,0.819923030114343,0.5711902558764935,2.0574746328437676,3.4526896734107937e-05,COMPLETE
26,0.9545715679028205,2026-03-28 18:08:43.234679,2026-03-28 18:29:24.376494,0 days 00:20:41.141815,0.0681392019029132,0.3081700050398935,1.1450598751382852,0.5429922976515571,0.22881359528600456,0.011108276355196595,0.6397729830415515,0.2050830772768184,0.00822985531240399,0.1122472748280428,0.0026373899030553843,0.9259386335697196,0.6429669294370156,1.682970118352624,1.7034141939649683e-05,COMPLETE
27,0.9392365896477836,2026-03-28 18:29:24.390992,2026-03-28 18:49:49.485652,0 days 00:20:25.094660,0.08990218209197173,0.38672374960228545,1.3208979211290859,0.3717376117475414,0.174394756415051,0.005798968136156045,0.7124246400246792,0.35114975002219767,0.0018603390142295062,0.4987478277483959,0.1410983754281724,0.8523374582626151,0.7318749917356785,1.3163843094591066,0.00012189004546612708,COMPLETE
28,0.9560817984203973,2026-03-28 18:49:49.485652,2026-03-28 19:09:53.969578,0 days 00:20:04.483926,0.12052423973957205,0.3490459985880554,1.1896038722283508,0.3372542484417781,0.20732535847420683,0.022067330357056825,0.5181938889073024,0.24141505846937156,0.004671192887612223,0.16404134110676588,0.06122434627169573,0.7888866021212204,0.5951184842665272,2.3809673926549393,0.0001927003865378082,COMPLETE
29,0.9474074084983303,2026-03-28 19:09:53.978578,2026-03-28 19:30:00.851228,0 days 00:20:06.872650,0.10256260419577545,0.41008965988088075,1.4302251315045333,0.6034915504770313,0.29992003231657655,0.018659882693602532,0.769198919062648,0.38666843919105853,0.03148224993117717,0.2717240831457961,0.030025758107689152,0.8292856851524447,0.6785364590680509,2.8407403973698786,0.0003164806657157893,COMPLETE
30,0.9541636186756318,2026-03-28 19:30:00.861226,2026-03-28 19:50:21.315484,0 days 00:20:20.454258,0.10386518025547903,0.24414486806134977,1.0731289398452368,0.5188320865795105,0.13182636147687382,0.0297872867142615,0.6706989631930971,0.45887454105203845,0.016498638636429336,0.08126897782006685,0.17370908699849516,0.7617784822938247,0.5415075468595109,2.721825696723445,6.781750155492485e-05,COMPLETE
31,0.9546913021150086,2026-03-28 19:50:21.315484,2026-03-28 20:10:24.722595,0 days 00:20:03.407111,0.11112237589087685,0.3146211951628394,1.2858373830252594,0.3061187811163752,0.24415488723220286,0.01631999964323764,0.7617718566906422,0.2497922141395983,0.00017959077316855585,0.05257762173517535,0.07699173806863033,0.7711871063243946,0.5962989938952789,0.8849440589948435,2.5198758232216852e-05,COMPLETE
32,0.9571266523791254,2026-03-28 20:10:24.732193,2026-03-28 20:30:52.521806,0 days 00:20:27.789613,0.12370829154792214,0.3508659738518323,1.328288467280895,0.3269702772329364,0.2715952019854079,0.010296760295858506,0.7963250057534698,0.2970734347285631,0.00047900458667969457,0.07767887480187206,0.0876210438690476,0.7471357620790606,0.6235984248413591,1.0849061844553705,1.0025278391652135e-05,COMPLETE
33,0.9582918682762573,2026-03-28 20:30:52.535806,2026-03-28 20:51:22.508465,0 days 00:20:29.972659,0.09775596996135241,0.31830964606624623,1.2815067494243446,0.34702596501994987,0.23799849836128298,0.01421770185199391,0.7273928046619984,0.25005971156670925,0.000540354778260591,0.12532914240983178,0.05100162126292528,0.809087025558042,0.5481592031940901,1.9789697617952262,1.7568955861919068e-05,COMPLETE
34,0.9548329544114481,2026-03-28 20:51:22.524115,2026-03-28 21:11:51.777690,0 days 00:20:29.253575,0.11343473296818349,0.39142550829973,1.1524449613768122,0.30045964435419326,0.21217747583565633,0.004817063326029032,0.7992521889901274,0.28563930184535347,0.00010607052192505596,0.0857129380133225,0.13124085131933905,0.7259037934091538,0.9805534537980058,0.8879734442471575,3.474334521124308e-05,COMPLETE
35,0.9452258548490813,2026-03-28 21:11:51.789164,2026-03-28 21:32:33.173920,0 days 00:20:41.384756,0.1311726898190855,0.43550923471273917,1.2085980933627827,0.5713077022800503,0.2659981338456408,0.02328949092766433,0.48928604865790765,0.6697703725597273,0.001451282384715463,0.22100825681623187,0.10713838991203675,0.7931368894993508,0.5884397047093408,1.271170821143734,1.5241989483438465e-05,COMPLETE
36,0.9557767991471112,2026-03-28 21:32:33.189580,2026-03-28 21:53:00.242802,0 days 00:20:27.053222,0.106281168099046,0.26376080431122706,1.426798323108721,0.3819991547303443,0.1875227687263991,0.016782476753046997,0.694577297520898,0.314934613551191,0.0032325867292343183,0.1416184356829173,0.15960123646679272,0.7671553990036547,0.652500881662468,1.045289024798612,2.1469853487483206e-05,COMPLETE
37,0.9542389996730111,2026-03-28 21:53:00.251802,2026-03-28 22:13:18.814216,0 days 00:20:18.562414,0.08307870562272962,0.30116531071218106,1.1733965892787057,0.462455928232947,0.2529500353425616,0.010594280516552866,0.5915509221887625,0.3603950152501699,0.008874332413155606,0.17542214471414813,0.06950261776894076,0.8498412140019242,0.6929650174866155,0.583042401655558,4.072662401706545e-05,COMPLETE
38,0.9590865813136181,2026-03-28 22:13:18.830211,2026-03-28 22:33:52.599300,0 days 00:20:33.769089,0.057951351844998986,0.33992301638823624,1.1165072285831321,0.3283934781068074,0.21085191188219915,0.0081350637703659,0.3873268215069577,0.229979085802306,0.0005843295547453401,0.11734949732645324,0.22772886059057362,0.8172518314755677,0.8187186116108937,1.4806260204012704,2.854058337074525e-05,COMPLETE
39,0.9465970243821221,2026-03-28 22:33:52.608300,2026-03-28 22:54:08.681819,0 days 00:20:16.073519,0.07544967789988055,0.2700066016926881,1.3468485496906963,0.3625631612906657,0.14092747007651135,0.02528860385120275,0.6197339955076557,0.7822128239675793,0.03361864829831454,0.06428417869307834,0.04016003744456491,0.7957837959133819,0.5351888697251806,1.6942633156687532,4.320094191892803e-05,COMPLETE
40,0.9520743917655442,2026-03-28 22:54:08.693001,2026-03-28 23:14:30.911909,0 days 00:20:22.218908,0.1376216363245566,0.4071370532012781,1.4047110684606365,0.6319346003047757,0.2830531715348581,0.029373501334346786,0.5665350092170179,0.20140646658783795,0.016982831588414855,0.30406366372099375,0.018465991600219757,0.8823504452809839,0.7189742590650471,2.367219061464609,5.913132267922206e-05,COMPLETE
41,0.9560797517115049,2026-03-28 23:14:30.927527,2026-03-28 23:34:59.221834,0 days 00:20:28.294307,0.050148659712832125,0.3339875651959034,1.2954938087010992,0.3209588952985067,0.2368038048449634,0.012924945650696162,0.7739517951903573,0.20187312107983682,0.039292278050159134,0.20534971893743303,0.05888803593914978,0.7550588436192825,0.6225168275141122,2.200162058053481,1.3209904061916328e-05,COMPLETE
42,0.9539609984168943,2026-03-28 23:34:59.221834,2026-03-28 23:55:25.987172,0 days 00:20:26.765338,0.05098117615773398,0.23164363256780657,1.247590754543125,0.31773716769118787,0.2519849301393773,0.011931596265657988,0.7079546597849738,0.2363940237389514,0.010041291918383417,0.18767582413681944,0.08945940108327793,0.7540747830121897,0.6112852664698611,1.8725763098909676,1.3706257021046616e-05,COMPLETE
43,0.9524441229355242,2026-03-28 23:55:26.003108,2026-03-29 00:16:20.921522,0 days 00:20:54.918414,0.06720937253227245,0.36098736529148623,1.3168214200636876,0.35506678095266964,0.22430259098094926,0.015226400517259398,0.7752016289423989,0.32681866868214776,0.02364527301390638,0.14607052227993125,0.0688846544195261,0.734599797127479,0.5736901591277088,2.0534692134042496,1.9378402169857424e-05,COMPLETE
44,0.9528147561430035,2026-03-29 00:16:20.968970,2026-03-29 00:37:19.216450,0 days 00:20:58.247480,0.059305566713479474,0.29805715995093157,1.4940473824919631,0.39967590858879076,0.17171035323194078,0.01905230604580668,0.7855214616998212,0.27257629808746137,0.0063410145355977,0.36598902376715625,0.11571915021039694,0.7836927030505001,0.6533033482375332,2.606457834079483,1.1189083871880884e-05,COMPLETE
45,0.948871873543798,2026-03-29 00:37:19.263340,2026-03-29 00:58:13.871045,0 days 00:20:54.607705,0.06318965574621485,0.37791265344594605,1.2142340560743075,0.4236989667539137,0.2037524960354216,0.007233556978014941,0.7407766464447613,0.23448608880827596,0.03959241013663096,0.2481504600166644,0.05122544000194793,0.7646202758210249,0.6681968018375042,2.2455073869085416,0.0008862059498080673,COMPLETE
46,0.9555150715713969,2026-03-29 00:58:13.883639,2026-03-29 01:18:55.867327,0 days 00:20:41.983688,0.05703585633118558,0.32903520660547503,1.268234623759759,0.3821829442562935,0.2537643490784411,0.0210658966893644,0.6563927021831898,0.2708282391708488,0.015225465198417273,0.08200569151193812,0.01402186991316666,0.7264907252138767,0.6180977181224446,1.4330170505021695,0.0004597822118711032,COMPLETE
47,0.9632916441628662,2026-03-29 01:18:55.898323,2026-03-29 01:39:56.491564,0 days 00:21:00.593241,0.07140798031378946,0.46312589434355633,1.3127070468937196,0.5636196176412798,0.2882519808308238,0.017351360216514393,0.6971630715901096,0.3213744936509859,0.048117056448515556,0.10572865615957065,0.09972237348000992,0.805892487977318,0.5937355916148969,1.7207575123688748,8.671311282524392e-05,COMPLETE
48,0.9530378351603582,2026-03-29 01:39:56.538609,2026-03-29 02:00:44.948920,0 days 00:20:48.410311,0.08153227175227863,0.4817269943536236,1.3786406948892638,0.5767040881307718,0.2778450321823887,0.043959474640356225,0.4823416971510638,0.326302513039816,0.0007662978341285864,0.1129813530984945,0.09752697217515728,0.8094087471450534,0.5247158041350565,1.6832358453110134,8.376217680075874e-05,COMPLETE
49,0.9548485871751808,2026-03-29 02:00:44.964885,2026-03-29 02:21:31.011601,0 days 00:20:46.046716,0.07282322883508024,0.47213172521667607,1.183882562515737,0.5665682903642782,0.28804603331200684,0.01801970834322973,0.6869186723671075,0.4190428843010031,0.02054062408907383,0.06924481155644782,0.13616611818842278,0.7998683216742247,0.5589169290591779,0.07400026783544122,0.00014158946535970543,COMPLETE
50,0.9585408264511073,2026-03-29 02:21:31.011601,2026-03-29 02:42:27.923988,0 days 00:20:56.912387,0.06725396857075769,0.4360086420267071,1.3009821951243048,0.6185075238729169,0.29852205261978965,0.00021340548261852485,0.7195228873430016,0.3678670177880587,0.00029974966892213527,0.09779534336806542,0.11699084275352835,0.837853302809059,0.5898150134794656,1.8952855976099632,0.00027513791478711325,COMPLETE
51,0.9485954061436124,2026-03-29 02:42:27.925992,2026-03-29 03:03:24.734277,0 days 00:20:56.808285,0.053610683601241334,0.5583462046358657,1.233500250372735,0.5124602999380693,0.03191606158290368,0.002518680556603526,0.7557372738859254,0.2255344590597072,0.029562671210632094,0.1650550036480747,0.08156904724667169,0.7724380885217403,0.6309461968906288,2.0344332533851346,2.7963042519509503e-05,COMPLETE
52,0.9426435960034387,2026-03-29 03:03:24.747274,2026-03-29 03:24:11.455829,0 days 00:20:46.708555,0.061961171946983945,0.4546628407771772,1.3544033995386324,0.3175536183555449,0.2625723260975865,0.014066334062878159,0.741181764426783,0.26244034890485385,0.04418133474105126,0.20497498285245974,0.0382799090199904,0.7493111083538634,0.6061392427308415,1.7890911599148507,1.4955979142152493e-05,COMPLETE
